"Auction","description_name","description_url","description_sale_info","description_BaT_Essentials_1_name","description_BaT_Essentials_2_name","description_BaT_Essentials_3_name","description_BaT_Essentials_4_name","description_BaT_Essentials_5_name","description_BaT_Essentials_6_name","description_BaT_Essentials_7_name","description_BaT_Essentials_8_name","description_BaT_Essentials_9_name","description_BaT_Essentials_10_name","description_BaT_Essentials_11_name","description_BaT_Essentials_12_name","description_BaT_Essentials_13_name","description_BaT_Essentials_14_name","description_BaT_Essentials_15_name","description_BaT_Essentials_16_name","description_BaT_Essentials_17_name","description_BaT_Essentials_18_name","description_BaT_Essentials_19_name","description_BaT_Essentials_20_name","description_BaT_Essentials_21_name","description_BaT_Essentials_22_name","description_BaT_Essentials_23_name","description_BaT_Essentials_24_name","Remove"
"","15k-Mile 2013 Chevrolet Corvette Grand Sport 6-Speed","https://bringatrailer.com/listing/2013-chevrolet-corvette-37/","Bid to $32,750 on 3/26/20","Location: Knoxville, Tennessee 37932","Chassis: 1G1Y32DW5D5105042","15k Miles Shown","6.2-Liter LS3 V8","Six-Speed Manual Transaxle","Arctic White","Diamond Blue Leather","60th Anniversary Edition","4LT Premium Equipment","18""/19"" Chrome Wheels","Heated Sport Seats","Borla Exhaust","Kenwood Head Unit","Window Sticker","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","1969 Chevrolet Camaro 355 5-Speed","https://bringatrailer.com/listing/1969-chevrolet-camaro-43/","Sold for $58,750 on 3/26/20","Location: Coquitlam, British Columbia, Canada","Chassis: 124379L530264","Camaro Z/28 RS Tribute","32k Miles Shown, TMU","Replacement 355ci V8","5-Speed Tremec TKO 600 Manual Transmission","Black with White Stripes","Black Interior","Aftermarket Stereo and Amplifier","Steel Wheels w/ Hubcaps","RS-Style Headlights & Taillights","Z/28-Style Front Lip & Badging","Rear Spoiler","Refinished circa 2015","Powertrain Installed circa 2015","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","23-Years-Owned 1957 Chevrolet Bel Air 4-Door Hardtop Sedan","https://bringatrailer.com/listing/1957-chevrolet-bel-air-30/","Sold for $13,500 on 3/26/20","Location: Gettysburg, Pennsylvania 17325","Chassis: VC57B185799","66k Miles Shown, TMU","283ci V8","2-Speed Automatic Transmission","Repaint in Coronado Yellow and India Ivory","Black and Silver Interior","Rebuilt Carburetor","Recent Tune-Up and Fluid Changes","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","1985 Toyota Land Cruiser FJ45","https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj45-troopy-2/","Sold for $40,500 on 3/26/20","Location: Miami, Florida 33175","Chassis: FJ45-946265","154k Kilometers (~96k Miles) Shown","4.2-Liter 2F Inline-Six","Four-Speed Manual Gearbox","Two-Speed Transfer Case","Repainted in Capri Blue","Reupholstered Interior","Refurbished in Venezuela","Replacement US-Spec Bed","Air Conditioning","Refreshed Suspension & Brakes","Refurbishment Photos","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1993 Toyota 4×4 Pickup 5-Speed","https://bringatrailer.com/listing/1993-toyota-4x4-pickup-5/","Sold for $16,000 on 3/26/20","Location: Jacksonville, Florida 32246","Chassis: 4TAVN01D5PZ150731","56k Miles Shown","3.0L V6","5-Speed Transmission","2-Speed Transfer Case","Skyjacker Suspension Lift","Newer 33"" BFGoodrich Tires","Upgraded Audio Components","Longterm Original Ownership","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","1988 BMW 325is 5-Speed","https://bringatrailer.com/listing/1988-bmw-325is-43/","Sold for $11,250 on 3/26/20","Location: Reisterstown, Maryland 21136","Chassis: WBAAA1300J8253273","168k Miles Shown, TMU","2.5-Liter Inline-Six","5-Speed Manual Transmission","Limited-Slip Differential","Repainted Cinnabar Red over Natural Leather","Factory Sport Seats","Bilstein Shocks & H&R Springs","Team Dynamics 15"" Wheels","Recent Records","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","2006 Ferrari F430 Spider","https://bringatrailer.com/listing/2006-ferrari-f430-spider-10/","Sold for $81,000 on 3/26/20","Location: Middlebury, Connecticut 06762","Chassis: ZFFEW59AX60149605","28k Miles","4.3L DOHC V8","6-Speed Automatic Transaxle","Black over Tan Leather","Black Soft Top","Scuderia Fender Shields","Carbon-Fiber Driving Zone","Red Brembo Brake Calipers","Daytona-Style Seats with Lumbar Support","Automatic Climate Control","New Clutch, Top, and Brakes in 2019","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","33-Years-Owned 1969 BSA Rocket 3","https://bringatrailer.com/listing/1969-bsa-rocket-3/","Bid to $6,000 on 3/26/20","Location: Cameron Park, CA 95682","Chassis: AC01162A75R","Owned 33 Years","34k Miles Indicated, TMU","Previously Owned by Craig Vetter","740cc OHV Triple","4-Speed Transmission","Clubman-Style Handlebars","Lucas Taillight","Carburetors Rebuilt","Lubrication System Serviced","Valves & Ignition Adjusted","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","No Reserve: JDM 1992 Toyota MR2 Turbo","https://bringatrailer.com/listing/1992-toyota-mr2-15/","Sold for $10,500 on 3/26/20","Location: Portland, Oregon 97202","Chassis: SW20066512","58k Kilometers (~36k Miles) Shown","Turbocharged 2.0L Inline-Four","5-Speed Manual Transmission","White over Gray Cloth","MOMO Steering Wheel","Panasonic Navigation Head Unit","Air Conditioning","Recent Service","Owner's Manual","Manufacturer's Literature","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","Modified 1958 Austin-Healey Sprite “Canlas Special”","https://bringatrailer.com/listing/1958-austin-healey-canlas-special/","Bid to $15,750 on 3/26/20","Location: Monterey, California 93940","Chassis: 502406","28k Miles Shown, TMU","2.0-Liter Alfa Romeo Inline-Four","Five-Speed Manual Transmission","Modified MGA Rear End","Red over Black","Modified Sprite Bodywork","Roll-Bar","Black and Red Interior","Canlas Badging","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","No Reserve: 1989 Mercedes-Benz 300TE","https://bringatrailer.com/listing/1989-mercedes-benz-300te-8/","Sold for $6,200 on 3/26/20","Location: Walnut Creek, California 94596","Chassis: WDBEA90DXKF120817","115k Indicated Miles","3.0-Liter M103 Inline-Six","4-Speed Automatic Transmission","Midnight Blue Over Gray MB-Tex","Third-Row Bench Seat","Repainted Under Previous Ownership","Owner's Books","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","Euro 1986 BMW 520i 5-Speed","https://bringatrailer.com/listing/1986-bmw-520i/","Bid to $7,500 on 3/26/20","Location: Brewster, Massachusetts 02631","Chassis: WBADK510909642457","44k Kilometers (~27k Miles) Shown","2.0L M20B20 Inline-Six","Bosch LE-Jetronic Fuel Injection","5-Speed ZF Manual Gearbox","Platanengrün Metallic Paint","Pineingrün Cloth Interior","Air Conditioning","Kenwood Stereo","$18k in Service & Parts in 2018","Timing Belt Replaced","Valves Adjusted","Transmission Rebuilt","Radiator & Coolant Hoses Replaced","Brakes Serviced","Tires Replaced","Clutch Replaced in 2020","Copies of Importation Documents","Receipts since 2018","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","1"
"","Vortec-Powered 1969 GMC C1500 Pickup","https://bringatrailer.com/listing/1969-gmc-c1500/","Sold for $15,500 on 3/26/20","Location: Dallas, Texas 75252","Chassis: CS10CZA27913","135 Miles Shown, TMU","6.0-Liter V8","Four-Speed 4L60E Automatic Transmission","Flowmaster Exhaust","Lowering Springs","Dakota Digital Gauges","Oak Plank Bed","RetroSound Laguna Radio","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","2014 Mercedes-Benz E63 S AMG 4MATIC Wagon","https://bringatrailer.com/listing/2014-mercedes-benz-e63s-wagon/","Sold for $56,750 on 3/26/20","Location: Phoenix, Arizona 85034","Chassis: WDDHH7GB0EB072331","54k Miles Shown","Twin-Turbocharged 5.5-Liter V8","Seven-Speed Automatic Transmission","4MATIC All-Wheel Drive","Cat-Less Midpipes & Custom ECU Tune","Powder-Coated 19"" AMG Wheels","Magno Kashmir White/Amaretto Leather","Heated & Cooled Dynamic Seats","Distronic Plus","Blind Spot, Lane Keeping & Parking Assist","Manufacturer's Literature","Service Records from New","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","1969 Chevrolet Corvette L46 350/350HP Coupe 4-Speed","https://bringatrailer.com/listing/1969-chevrolet-corvette-350-coupe-7/","Sold for $38,350 on 3/26/20","Location: Fresno, California 93711","Chassis: 194379S720944","54k Miles Shown","Numbers-Matching 350ci L46 V8","4-Speed Manual Transmission","2005 Repaint in Monza Red","Black Leather Upholstery","Factory Air Conditioning","Regional Concours Winner","Order Copy and Factory Literature","California Black Plates","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1989 BMW M3 Convertible","https://bringatrailer.com/listing/1989-bmw-m3-44/","Sold for $74,400 on 3/26/20","Location: Scottsdale, Arizona 85262","Chassis: WBSBB010602385028","67k Kilometers (~42k Miles) Shown","2.3-Liter S14 Inline-Four","Five-Speed Manual Transmission","Macao Blue Metallic over Natur Leather","Dark Blue Power Convertible Top","One of 786 Produced","Non-Catalyzed Version","Yellow Headlights","Headlight Aim-Control, Washers","Service Records Dating to 1989","Imported in 2014","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","No Reserve: 1985 Ford Mustang GT 5.0 5-Speed","https://bringatrailer.com/listing/1985-ford-mustang-gt-5-0-11/","Sold for $11,250 on 3/26/20","Location: Celina, Texas 75009","Chassis: 1FABP28MXFF165511","41k Miles Shown, TMU","5.0-Liter V8","Five-Speed Manual Gearbox","Traction-Lok Rear Axle","Medium Charcoal Metallic","Gray Fabric","15"" Alloy Wheels","Service Records","Window Sticker","Accident-Free Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","1"
"","1997 Lexus LX450","https://bringatrailer.com/listing/1997-lexus-lx450/","Sold for $15,500 on 3/25/20","Location: Doylestown, Pennsylvania 18901","Chassis: JT6HJ88JXV0152006","136k Miles Shown","4.5L Inline-Six","4-Speed Automatic","2-Speed Transfer Case","Cashmere Beige Metallic","Tan Leather","Snorkel and Roof Basket","Carfax Report","Private Party or Dealer: Dealer","","","","","","","","","","","","","","1"
"","No Reserve: 1974 Ducati Mark 3 450","https://bringatrailer.com/listing/1974-ducati-mark-3-450/","Sold for $7,000 on 3/25/20","Location: Los Angeles, California 90045","Chassis: DM450M3702073","450cc Bevel-Drive Single","Five-Speed Transmission","Chain Drive","Refinished in Metallic Blue","Ported & Polished Cylinder Head","New Seat, Shocks, Ignition","Factory Electronic Ignition Included","Service Records","Private Party or Dealer: Private Party","","","","","","","","","","","","","","1"
"","Supercharged 1995 BMW M3 Coupe 5-Speed","https://bringatrailer.com/listing/supercharged-1995-bmw-m3/","Bid to $12,236 on 3/25/20","Location: Easton, Maryland 21601","Chassis: WBSBF9323SEH00671","150k Miles Shown","Supercharged 3.0L Inline-Six","5-Speed Manual Transmission","Avus Blue Metallic","Reupholstered Light Gray Nappa","RMS Stage 2.5 Supercharger Kit","RMS Ceramic Coated Header","Clutch Master Stage 3 Kit","KW Coilovers","ECS Tuning Big Brake Kit","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","2008 BMW M5 6-Speed","https://bringatrailer.com/listing/2008-bmw-m5-52/","Bid to $23,750 on 3/25/20","Location: Hamilton, Georgia 31811","Chassis: WBSNB93558CX09456","38k Miles Shown","5.0-Liter V10","Six-Speed Manual Transmission","Alpine White","Sepang Light Bronze Merino Leather","Dinan Engine Tune","Heated Seats","Head-Up Display","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1969 Triumph Trident T150","https://bringatrailer.com/listing/1969-triumph-motorcycle-trident/","Sold for $7,500 on 3/25/20","Location: Lake Geneva, Wisconsin 53147","Chassis: BC02037T150T","17k Miles Indicated","740cc OHV Triple","Four-Speed Manual Transmission","Triple Amal 27mm Carburator","Spring Gold Paint","Beauty Kit","Owned 12 Years","Private Party or Dealer: Private Party","","","","","","","","","","","","","","","1"
"","No Reserve: 1970 Honda Z50A Monkey Mini Trail","https://bringatrailer.com/listing/1970-honda-z50a-monkey/","Sold for $4,000 on 3/25/20","Location: Allendale, Michigan 49401","Chassis: Z50A-313198","Engine: 50AE 296148","Total Mileage Unknown","49cc 4-Stroke Single","3-Speed Transmission","Automatic Clutch","Repainted Yellow & White","Powder-Coated Frame","Bridgestone Tires","Tune-Up & Carb Adjustment in 2019","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","2006 Jeep Wrangler 6-Speed","https://bringatrailer.com/listing/2006-jeep-wrangler-21/","Sold for $15,250 on 3/25/20","Location: Ballwin, Missouri 63011","Chassis: 1J4FA49S76P775845","55k Miles","4.0-Liter Inline-Six","6-Speed Manual Gearbox","2-Speed Transfer Case","Flame Red","Dark Slate Gray Cloth Interior","Black Soft Top","Full Doors","15"" Alloy Wheels","Cruise Control","Air Conditioning","Kenwood Head Unit","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","1994 Mercedes-Benz E500","https://bringatrailer.com/listing/1994-mercedes-benz-e500-14/","Sold for $17,000 on 3/25/20","Location: Plano, Texas 75024","Chassis: WDBEA36E3RC164862","100k Miles Shown","5.0-Liter V8","Four-Speed Automatic Transmission","Repaint in Brilliant Silver Metallic","Gray Leather Interior","Evo-Style Wheels","Sunroof","Heated Front Seats","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","","","1"
"","1.8T-Powered 1982 Volkswagen Vanagon","https://bringatrailer.com/listing/1982-volkswagen-vanagon/","Sold for $10,750 on 3/25/20","Location: Bellingham, Washington 98229","Chassis: WV2YG0258CH082302","190k Miles Shown, TMU","Turbocharged 1.8L Inline-Four","Rebuilt 4-Speed Manual Transmission","Refinished in Orange & White","18"" Mercedes-Benz CLK Wheels","New Shocks/Springs","Recaro Sport Seats","Aftermarket Sound System","Stripped Cargo Bay","Modification Records","Reconstructed Title","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1974 Triumph TR6","https://bringatrailer.com/listing/1974-triumph-tr6-84/","Sold for $22,000 on 3/25/20","Location: Richmond, Virginia 23226","Chassis: CF16124U","62k Miles Shown, TMU","2.5-Liter Inline-Six","Four-Speed Manual Transmission","Pimento Red with Black Soft Top","Black Vinyl Interior with Hardwood Dash","Tan Carpeting","Coco Mats","15"" Panasport Wheels","Lowered Suspension","Spare Parts","BMIHT Certificate","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1989 Mercedes-Benz 560SL","https://bringatrailer.com/listing/1989-mercedes-benz-560sl-117/","Bid to $18,000 on 3/25/20","Location: East Greenbush, New York 12061","Chassis: WDBBA48D1KA101953","46k Miles Shown","5.5-Liter M117 V8","4-Speed Automatic Transmission","Limited-Slip Differential","Black over Gray Leather","Color-Matched Hardtop","New Black Soft Top","Panasonic Stereo","Manufacturer's Literature","Stamped Service Booklet","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $75 Document Fee","","","","","","","","","","1"
"","2006 BMW M3 Coupe Competition Package SMG","https://bringatrailer.com/listing/2006-bmw-m3-coupe-39/","Bid to $19,250 on 3/25/20","Location: Daly City, California 94015","Chassis: WBSBL93466PN65400","61K Miles Shown","3.2-Liter Inline-Six","Six-Speed Sequential Manual Gearbox","Limited-Slip Differential","Carbon Black Metallic","Black Nappa Leather Interior","Competition Package","Cold Weather Package","Harman Kardon Sound System","Heated/Power-Adjustable Seats","Xenon Headlights","Park Distance Control","KW V1 Coilovers","Factory Literature","Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","1"
"","No Reserve: 1998 Volkswagen GTI VR6","https://bringatrailer.com/listing/1998-volkswagen-golf-gti-vr6/","Sold for $5,700 on 3/25/20","Location: Scottsdale, Arizona 85255","Chassis: 3VWHD81H1WM218560","128k Miles Shown","2.8-Liter VR6","Five-Speed Manual Gearbox","Ginster Yellow","Black Leather Interior","ST Coilovers","Hella All-Red Taillights","AutoTech Exhaust","Recent Maintenance","Partial Service Records","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","2003 Mercedes-Benz SLK32 AMG","https://bringatrailer.com/listing/2003-mercedes-benz-slk32-amg-4/","Sold for $11,250 on 3/25/20","Location: Ventura, California 93003","Chassis: WDBKK66F73F291355","37k Miles Shown","Supercharged 3.2-Liter V6","5-Speed Automatic Transmission","Cubanite Silver Metallic","Anthracite Leather","Folding Hardtop","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
"","No Reserve: 1973 International Harvester 1210 4×4","https://bringatrailer.com/listing/1973-international-harvester-1200-4x4/","Sold for $23,000 on 3/25/20","Location: Salem, Oregon 97304","Chassis: 3Q2C0CHB42871","67k Miles Shown, TMU","392ci V8","3-Speed Automatic","2-Speed Transfer Case","Red over Burgundy Interior","Monroe Shocks","New Tires","Recent Services","Original Purchase Agreement and Build Sheet","Factory Literature","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","No Reserve: 1988 Chevrolet Beretta GTU","https://bringatrailer.com/listing/1998-chevrolet-beretta/","Sold for $4,300 on 3/25/20","Location: La Habra, California 90631","Chassis: 1G1LV14W6JY652426","68k Miles Shown","2.8-liter V6","Three-Speed Automatic Transmission","FE7 Suspension","Red over Tan","GTU-Specific Body Kit and Graphics","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
"","1996 Porsche 911 Turbo","https://bringatrailer.com/listing/1996-porsche-911-turbo-36/","Bid to $88,993 on 3/25/20","Location: San Luis Obispo, California 93401","Chassis: WP0AC2997TS375806","60k Miles Shown","Twin-Turbo 3.6L Flat-Six","Six-Speed Manual Transaxle","All-Wheel Drive","Midnight Blue Metallic","Marble Grey Supple Leather","Bilstein PSS9 Coilovers","Custom Roll Bar","RUF Oil Cooler","Upgraded Sway Bars","Transmission Overhauled 2006","Turbos Rebuilt 2017","Porsche CoA","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","1"
"","20k-Mile 2015 Jaguar XKR Convertible","https://bringatrailer.com/listing/2015-jaguar-xkr-convertible/","Bid to $39,000 on 3/25/20","Location: Vero Beach, Florida 32960","Chassis: SAJWA4EC1FMB56006","20k Miles Shown","Supercharged 5.0-Liter V8","Six-Speed Automatic Transmission","Polaris White","Black Soft Top","Warm Charcoal/Red Leather Interior","Performance Active Exhaust System","20"" Takoba Wheels","Performance Seats","Navigation","Bowers & Wilkins Stereo","Suedecloth Headliner","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","1960 Auto Union 1000 Sp Coupe","https://bringatrailer.com/listing/1960-auto-union-1000/","Sold for $17,000 on 3/25/20","Location: Sewickley, Pennsylvania 15143","Chassis: 6815001601","82k Kilometers (~51k Miles) Shown, TMU","981cc Two-Stroke Three-Cylinder","Column-Shifted Four-Speed Manual Gearbox","Front-Wheel Drive","Silver over White Leather","15"" Wheels","AM Radio","Owner's Manual","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","1"
"","No Reserve: 2002 Mercedes-Benz CLK430 Convertible","https://bringatrailer.com/listing/2002-mercedes-benz-clk430-6/","Sold for $12,000 on 3/25/20","Location: Neptune, New Jersey 07753","Chassis: WDBLK70G12T112576","54k Miles Shown","4.3-Liter M113 V8","Five-Speed Automatic Transmission","Brilliant Silver Metallic w/Black Convertible Top","Ash Leather Interior","Recent Maintenance","Clean Carfax","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
"","1971 Plymouth Barracuda","https://bringatrailer.com/listing/1971-plymouth-barracuda-10/","Bid to $35,000 on 3/25/20","Location: Charleston, South Carolina 29412","Chassis: BH23G1B145533","52k Miles Shown, TMU","440ci V8","3-Speed Automatic Transmission","Gear Vendors Overdrive","3.90:1 Rear Axle","Yellow over Black Vinyl","Rear Window Louvers & Spoiler","Rallye Wheels & Dash","TTI Exhaust System","Griffin Radiator","Aftermarket Stereo","Recent Service Records","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","1971 Volkswagen Bus Westfalia Camper","https://bringatrailer.com/listing/1971-volkswagen-bus-12/","Sold for $18,251 on 3/25/20","Location: Bainbridge Island, Washington 98110","Chassis: 2312153177","Westfalia Campmobile 70 Camper Top","91k Miles Shown, TMU","1,584cc Flat-Four","4-Speed Manual Gearbox","Refinished in Chianti Red","Beige & Mustard Interior","Dining Area & Icebox","Rear Cargo Area","Under-Dash Bamboo Tray","Steel Wheels w/ VW Hubcaps","Engine Reportedly Rebuilt","Distributor & Fuel Pump Replaced","Valve Adjustments Reported","Factory Manuals","Optional Passenger-Side ""Circus Tent"" Included","Tent Poles Missing","Two Cots Included","Private Party or Dealer: Private Party","","","","","1"
"","2003 BMW M3 Convertible","https://bringatrailer.com/listing/2003-bmw-m3-convertible-28/","Bid to $10,500 on 3/25/20","Location: Miami, Florida 33132","Chassis: WBSBR93483PK01845","80k Miles Shown","3.2-Liter S54 Inline-Six","Replacement Six-Speed SMG Transmission","Limited-Slip Differential","Alpine White III","Replacement Black Soft Top","Black Nappa Leather with Titan Shadow Trim","Premium Package","Harman Kardon Sound System","Heated Front Seats","Car Cover","Service Records","Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","2006 Maserati GranSport Limited Edition","https://bringatrailer.com/listing/2006-maserati-gransport-15/","Bid to $16,050 on 3/25/20","Location: Coronado, California 92118","Chassis: ZAMEC38A560025783","35k Miles Shown","4.2-Liter V8","Six-Speed Cambiocorsa Automated Transaxle","Grigio Touring Metallic","Limited Edition","Tan Leather","19″ Trofeo Alloy Wheels","Carbon Fiber Trim","Parking Sensors and Backup Camera","Service Records","Clean AutoCheck Report","Private Party or Dealer: Private Party","","","","","","","","","","","1"
"","1997 Land Rover Defender 90","https://bringatrailer.com/listing/1997-land-rover-defender-90-66/","Sold for $66,000 on 3/25/20","Location: Doylestown, Pennsylvania 18901","Chassis: SALDV3247VA130274","23k Miles Shown","4.0L V8","4-Speed Automatic","2-Speed Transfer Case","Japanese-Market Model","Arles Blue","16"" Wheels","Hardtop","Power Windows","Recent Service","Private Party or Dealer: Dealer","","","","","","","","","","","","1"
"","1994 Land Rover Range Rover County LWB","https://bringatrailer.com/listing/1994-land-rover-range-rover-county-lwb-23/","Sold for $15,250 on 3/25/20","Location: Doylestown, Pennsylvania 18901","Chassis: SALHC1345RA642129","190k Miles Shown","4.6L V8","4-Speed Automatic","2-Speed Transfer Case","Brooklands Green Over Saddle","Recent Services","Factory Literature","Clean Carfax Report","Private Party or Dealer: Dealer","","","","","","","","","","","","","","1"
"","10k-Mile 2008 Aston Martin V8 Vantage Roadster","https://bringatrailer.com/listing/2008-aston-martin-v8-vantage-roadster-3/","Bid to $36,000 on 3/25/20","Location: Lindenhurst, New York 11757","Chassis: SCFBF04B88GD07779","10k Miles Shown","4.3-Liter DOHC V8","6-Speed Automatic Transmission","Antrim Blue w/ Blue Soft Top","Caspian Blue & Arctic Blue Interior","Hamann Front Lip & Rear Spoiler","Lexani 20"" Wheels","Parking Sensors","Navigation System","Factory Wheels & Tires Included","Car Cover","Manufacturer's Literature","Clean Carfax Report","Private Party or Dealer: Private Party","","","","","","","","","1"
"","2012 Porsche 911 Carrera S Coupe","https://bringatrailer.com/listing/2012-porsche-911-carrera-s-24/","Bid to $51,000 on 3/25/20","Location: Newport Beach, California 92663","Chassis: WP0AB2A93CS720764","37k Miles Shown","3.8-Liter Flat-Six","Seven-Speed PDK Transaxle","Carrara White","Sea Blue Full leather","19"" Carrera Sport Wheels","Sport Chrono Plus","Heated/Ventilated/Powered Seats","Sport Steering Wheel","Infotainment and Comfort Packages","Navigation","Bose Audio","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","1"
"","2003 Harley-Davidson FLHR Road King Peace Officer Edition in Factory Crate","https://bringatrailer.com/listing/2003-harley-davidson-flhr-road-king-peace-officer-special-edition/","Sold for $20,500 on 3/25/20","Location: Concord, Ontario, Canada","Chassis: 5HD1FWW153Y711387","Peace Officer Special Edition","Unassembled in Shipping Crate","0 Kilometers Indicated","88ci (1,450cc) V-Twin","5-Speed Transmission","Dark Blue w/Blue Pinstripes","Electronic Cruise Control","Factory Security System","Purchase Documents","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","1"
"","No Reserve: 1976 BMW R75/6","https://bringatrailer.com/listing/1976-bmw-r75-6-3/","Sold for $12,250 on 3/25/20","Location: Charleston, South Carolina 29403","Chassis: 4946636","40k Miles Indicated","750cc Boxer Twin","5-Speed Transmission","Black w/White Pinstriping","Locking Krauser Panniers","Dual Front Disc Brakes","Siebenrock 2-Up Seat","Brown Side Stand","Resealed Top End","Rebuilt Carburetors","Owner's Manual","Factory Tool Roll","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","2005 Bentley Continental GT","https://bringatrailer.com/listing/2005-bentley-continental-gt-25/","Bid to $30,000 on 3/25/20","Location: Costa Mesa, California 92627","Chassis: SCBCR63W75C027257","58k Miles Shown","Twin-Turbocharged 6.0L W12","6-Speed Automatic Transmission","All-Wheel Drive","Chestnut Metallic over Saddle Leather","Burl Wood Veneer Trim","4-Zone Automatic Climate Control","Navigation","$9k Engine-Out Service in January 2018","New Tires & Alignment in November 2019","Recent Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","1"
"","1991 BMW 850i 6-Speed","https://bringatrailer.com/listing/1991-bmw-850i-79/","Sold for $17,500 on 3/25/20","Location: Bethesda, Maryland 20817","Chassis: WBAEG1315MCB42179","103k Miles Shown","5.0-Liter V12","6-Speed Manual Transmission","Engine Rebuilt in 2020","18"" BBS Wheels","Power-Adjustable Seats","A/C Converted to R134a","Power Sunroof","Service Records","Clean Carfax Report","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","1"
"","1970 Ford Mustang Boss 302","https://bringatrailer.com/listing/1970-ford-mustang-boss-302-23/","Bid to $60,000 on 3/25/20","Location: Hastings, Nebraska 68901","Chassis: 0F02G125340","9k Indicated Miles, TMU","Refurbished 2007-2008","Repainted Grabber Orange Exterior","Reupholstered Black Vinyl Interior","302ci V8","Four-Speed Manual Transmission","15"" Magnum 500 Wheels","Shaker Hood Scoop, Sport Slats","Rear Deck Spoiler, AM Radio","Refurbishment Photos","Window Sticker","Deluxe & Elite Marti Reports","Private Party or Dealer: Private Party","","","","","","","","","","1"
"","No Reserve: 2011 Porsche Cayman 6-Speed","https://bringatrailer.com/listing/2011-porsche-cayman-5/","Sold for $19,000 on 3/25/20","Location: Miami, Florida 33186","Chassis: WP0AA2A80BU760829","115k Indicated Miles","2.9-Liter Flat-Six","6-Speed Manual Transaxle","Black over Carrera Red Full Leather","October 2019 Service","Clean Carfax Report","Window Sticker Copy","Private Party or Dealer: Dealer","Additional Charges From This Dealer: USD $0","","","","","","","","","","","","","","1"
